cell_id,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16
cell_35,10,2,2,2,0,2,2,2,3,2,2,-,3,9,0,5
cell_36,10,2,2,-,0,-,2,-,-,2,2,5,-,9,3,5
cell_37,10,2,2,2,2,2,2,-,2,2,2,5,3,0,2,-
cell_38,-,2,2,2,2,2,2,2,2,2,2,5,-,0,2,5
cell_39,10,-,2,2,2,2,-,2,2,-,2,5,3,0,2,5
cell_40,10,2,2,2,0,2,-,2,2,2,-,5,-,0,2,5
cell_41,10,2,2,2,-,2,2,2,2,-,2,5,-,-,2,5
cell_42,-,2,-,2,0,2,-,2,2,2,2,5,3,2,2,5
cell_43,-,2,2,2,5,2,-,-,2,2,-,-,5,-,2,5
cell_44,10,2,2,2,0,2,-,-,2,2,2,5,5,2,2,5
cell_45,10,2,2,2,-,2,2,2,-,2,-,-,3,0,2,5
cell_46,10,2,-,2,0,-,2,-,-,2,2,5,3,0,2,5
cell_47,10,2,2,-,-,2,2,-,2,2,2,5,3,0,2,-
cell_48,10,2,2,2,0,-,2,2,2,2,2,5,3,-,2,5
cell_49,10,2,-,2,3,2,2,2,0,2,-,5,2,5,-,5
cell_50,10,-,2,2,3,2,-,2,3,2,2,5,2,5,0,5
cell_51,-,2,2,2,-,2,-,2,0,2,2,5,2,-,0,5
cell_52,10,2,2,2,3,2,-,2,-,2,-,5,2,5,0,5
cell_53,10,-,2,2,3,2,2,2,0,2,2,5,2,-,2,5
cell_54,10,2,2,2,3,2,-,-,0,2,2,5,2,5,-,5
cell_55,-,2,2,2,0,2,2,2,0,2,-,5,2,-,0,5
cell_56,10,2,-,2,0,2,-,2,-,2,2,5,-,5,0,5
cell_57,-,2,2,2,2,2,-,2,0,2,2,-,2,0,5,5
cell_58,10,2,2,2,2,2,-,2,-,2,2,-,-,0,-,-
cell_59,10,2,2,2,2,-,2,2,0,2,-,5,2,-,-,5
cell_60,10,2,2,2,2,2,2,2,0,-,2,-,2,0,5,5
cell_61,10,2,2,2,2,-,2,2,-,2,2,5,2,-,-,5
cell_62,10,2,2,2,-,2,2,2,-,2,2,5,2,0,-,5
cell_63,10,2,2,2,-,2,2,2,10,-,2,5,2,0,0,5
cell_64,10,2,-,2,-,2,2,2,10,2,2,5,2,3,0,5
cell_65,-,2,2,2,5,2,2,2,3,2,2,2,0,3,49,5
cell_66,10,-,2,2,5,2,-,2,3,2,2,2,0,3,49,5
cell_67,10,-,2,2,5,2,2,2,3,2,2,-,0,-,0,-
cell_68,10,2,2,-,-,2,2,2,3,2,2,2,0,3,0,5
cell_69,-,2,2,2,0,2,2,2,-,2,-,2,2,3,-,5
cell_70,10,2,2,-,0,2,2,2,3,2,2,2,2,3,2,5
cell_71,10,2,2,-,3,-,2,2,3,2,2,2,4,3,0,5
cell_72,10,-,2,2,3,2,2,2,3,-,2,2,0,-,-,-
cell_73,10,2,2,2,0,2,2,2,5,2,2,2,0,2,-,5
cell_74,-,2,2,2,0,2,2,-,5,2,2,2,-,0,0,5
cell_75,10,-,2,2,2,2,2,2,5,-,2,2,0,0,0,-
cell_76,10,2,2,2,-,2,2,-,5,2,2,-,-,0,2,5
cell_77,-,2,2,2,2,2,-,-,5,2,2,2,5,0,-,5
cell_78,-,2,2,2,2,2,2,2,5,2,-,2,0,-,-,5
cell_79,10,2,2,2,2,2,2,2,5,2,2,2,0,0,-,5
cell_80,10,2,2,-,5,2,-,-,5,2,2,-,0,0,2,5
cell_81,10,2,2,2,0,2,-,2,6,2,2,-,-,-,-,5
cell_82,10,-,2,2,-,2,-,2,6,2,2,2,2,8,2,5
cell_83,-,2,2,2,2,-,2,2,65,2,-,-,2,8,0,5
cell_84,-,2,2,-,-,2,2,-,65,2,2,2,2,-,0,5
cell_85,10,2,2,-,0,2,2,2,11,2,2,2,-,8,2,5
cell_86,10,2,2,-,0,2,2,2,11,-,-,2,2,8,2,5
cell_87,10,-,2,2,3,2,2,-,8,2,2,2,2,8,2,5
cell_88,-,2,2,-,5,-,2,2,8,2,2,-,-,8,-,5
cell_89,10,2,2,2,2,2,2,2,2,2,2,2,2,-,2,5
cell_90,-,2,2,2,-,2,2,2,2,-,-,2,2,8,0,5
cell_91,-,-,2,2,0,2,-,2,2,-,2,2,2,8,2,5
cell_92,10,2,2,2,0,2,2,2,2,-,2,2,2,8,2,5
cell_93,-,-,-,2,0,2,2,2,2,2,2,2,2,8,2,5
cell_94,10,2,2,2,0,-,2,2,-,2,2,2,2,8,2,5
cell_95,10,-,-,-,-,2,2,2,2,2,2,2,2,8,2,5
cell_96,10,2,2,-,-,2,2,2,2,-,2,2,2,8,2,5
cell_97,10,2,-,2,-,-,-,-,-,-,-,-,-,-,-,-
cell_98,-,2,2,2,0,2,2,2,11,2,2,-,2,5,0,-
cell_99,10,2,2,2,0,2,2,-,11,-,2,0,2,5,0,5
cell_100,10,2,2,2,0,-,2,2,11,2,2,0,-,5,-,5
cell_101,10,2,2,2,2,2,2,2,11,2,-,4,0,5,-,5
cell_102,10,2,2,2,2,2,2,2,11,-,-,0,2,5,2,5
cell_103,10,2,2,2,-,-,2,2,11,2,2,2,0,5,0,5
cell_104,10,2,-,2,-,2,-,2,11,-,-,0,0,5,-,5
cell_105,10,2,2,2,-,-,-,2,11,2,2,5,2,5,-,5
cell_106,-,-,-,2,0,2,2,2,11,2,2,5,2,5,8,-
cell_107,-,2,-,2,2,2,-,2,-,2,-,5,-,5,0,5
cell_108,10,2,2,2,2,2,-,2,11,2,2,-,2,5,2,5
cell_109,10,-,2,2,2,2,2,2,11,2,2,13,2,5,0,5
cell_110,-,2,2,2,2,2,2,2,-,2,2,13,0,5,0,5
cell_111,10,2,2,-,2,2,2,2,11,2,2,0,0,5,0,5
cell_112,10,2,2,2,2,2,2,2,-,-,2,0,0,-,0,-
cell_113,10,2,2,2,2,-,-,2,11,2,2,-,0,-,2,5
cell_114,-,2,2,2,2,2,2,2,11,2,-,0,0,5,2,5
cell_115,10,2,2,-,2,2,2,2,11,-,2,0,0,5,-,5
cell_116,10,-,2,2,2,2,-,2,11,2,-,0,0,-,2,5
cell_117,-,2,2,-,2,2,2,-,11,2,2,-,2,5,2,5
cell_118,-,2,2,2,2,2,2,2,11,2,2,5,2,-,2,5
cell_119,10,2,2,-,2,2,2,2,11,-,2,5,-,-,-,5
cell_120,10,-,2,2,2,2,2,2,11,2,2,5,2,5,2,5
cell_121,10,2,2,2,2,2,2,2,11,2,2,0,0,5,2,5
cell_122,10,-,2,-,-,-,2,2,11,2,2,-,0,5,2,5
cell_123,10,2,2,-,2,2,-,-,11,-,2,0,0,5,2,5
cell_124,10,2,2,2,-,2,2,-,11,2,-,0,0,5,2,-
cell_125,10,2,2,2,2,2,2,2,11,-,2,0,2,5,2,5
cell_126,10,-,2,2,-,2,2,2,11,2,2,5,-,5,2,5
cell_127,10,-,2,2,2,-,-,-,11,2,2,3,-,5,2,5
cell_128,10,2,-,2,2,2,2,2,-,2,2,-,-,5,2,5
cell_129,-,-,2,-,5,-,2,-,2,2,2,-,3,20,3,5
cell_130,10,12,2,2,5,2,2,-,2,2,2,2,-,20,3,5
cell_131,10,12,2,2,5,2,2,2,2,2,2,2,3,20,3,5
cell_132,10,12,-,2,5,2,2,2,2,2,2,2,3,20,3,5
cell_133,10,0,2,2,5,2,2,2,-,-,2,-,3,-,3,5
cell_134,-,0,2,2,5,2,2,2,-,-,-,-,-,20,3,5
cell_135,-,2,2,-,5,2,2,-,2,-,2,2,3,20,3,5
cell_136,10,-,2,2,5,2,-,2,2,2,2,2,3,20,3,5
cell_137,10,2,2,-,-,2,2,2,2,2,-,2,3,20,3,5
cell_138,10,2,2,2,5,2,2,2,2,-,2,-,3,20,3,5
cell_139,10,2,2,2,5,2,-,2,2,2,2,-,3,20,3,-
cell_140,10,2,2,2,5,2,2,2,2,-,2,-,-,20,3,-
cell_141,10,2,2,2,5,2,2,2,2,2,2,2,3,20,3,5
cell_142,10,2,2,2,5,2,2,-,-,2,2,2,-,20,3,-
cell_143,10,-,2,2,5,2,-,2,2,2,2,-,3,20,3,5
cell_144,-,2,-,2,5,2,-,2,-,2,2,2,3,20,3,-
cell_145,10,0,2,2,5,2,2,2,2,2,2,2,3,20,3,5
cell_146,10,0,2,2,5,2,-,2,2,2,2,2,3,20,3,5
cell_147,10,0,2,-,5,2,2,2,2,2,2,2,-,20,3,5
cell_148,10,2,2,2,5,2,2,-,2,2,2,2,3,20,-,5
cell_149,10,2,2,2,5,-,2,2,2,2,2,2,3,-,-,5
cell_150,10,2,2,2,-,2,2,2,2,2,2,2,3,20,3,5
cell_151,10,2,2,2,5,2,-,-,2,2,2,2,3,20,-,5
cell_152,10,2,2,2,5,2,2,2,2,2,2,2,3,20,3,5
cell_153,-,2,-,2,-,2,2,2,2,-,2,2,-,-,3,5
cell_154,10,2,2,2,5,-,2,2,2,2,2,2,3,-,-,5
cell_155,10,2,-,2,5,2,2,2,2,-,2,2,3,20,3,-
cell_156,10,2,2,-,5,2,2,2,-,2,2,2,3,20,3,5
cell_157,10,2,2,2,-,2,-,2,-,2,-,2,3,20,-,5
cell_158,10,2,2,-,5,2,2,-,2,-,2,2,3,20,3,5
cell_159,10,2,-,-,5,-,2,2,2,2,2,2,-,20,3,5
cell_160,10,-,2,2,-,2,-,2,2,-,2,2,3,-,3,5
cell_161,10,0,-,-,5,-,2,-,13,-,2,2,3,20,3,5
cell_162,10,0,2,2,5,-,2,2,2,2,2,2,-,20,3,5
cell_163,10,-,2,2,5,-,2,-,0,2,2,2,3,20,3,5
cell_164,-,0,2,2,5,2,-,-,0,2,2,2,-,20,3,5
cell_165,10,-,2,2,5,-,2,2,0,2,-,-,3,20,3,5
cell_166,10,0,2,-,5,2,2,2,0,2,-,2,3,20,-,-
cell_167,10,0,2,2,5,2,2,2,2,2,2,2,3,20,3,5
cell_168,10,0,-,2,5,2,2,2,2,2,2,2,3,20,-,5
cell_169,10,-,-,2,5,2,2,-,0,2,2,-,3,20,-,5
cell_170,10,-,-,2,-,2,2,2,0,-,2,2,3,20,-,-
cell_171,-,-,-,2,5,2,2,2,-,2,2,2,3,20,3,5
cell_172,10,0,-,2,5,-,2,2,0,2,-,2,3,20,3,-
cell_173,10,2,-,2,5,2,2,2,-,2,2,2,-,-,3,-
cell_174,10,0,2,2,5,2,2,2,2,2,2,2,3,-,3,5
cell_175,10,0,2,2,5,2,2,2,-,2,2,2,3,20,-,5
cell_176,-,0,-,-,5,2,-,2,0,2,2,-,3,20,3,5
cell_177,10,-,-,2,-,2,2,2,0,2,2,2,3,20,3,5
cell_178,10,-,2,2,-,-,2,2,-,2,2,2,3,20,3,5
cell_179,10,-,2,2,5,2,2,2,0,2,-,2,3,20,3,5
cell_180,10,-,2,-,5,2,2,-,-,2,2,2,3,-,-,-
cell_181,10,2,2,2,5,-,2,2,2,2,2,2,3,20,3,-
cell_182,10,2,2,2,5,2,2,2,-,-,-,2,3,20,-,5
cell_183,10,-,2,2,5,2,2,2,2,-,2,2,3,20,3,-
cell_184,10,-,2,2,5,2,2,2,2,2,2,2,3,20,3,5
cell_185,-,2,2,2,-,2,-,2,0,2,-,-,3,20,3,5
cell_186,10,2,2,2,5,-,-,-,0,2,2,2,3,20,3,-
cell_187,10,2,2,2,5,2,-,2,-,2,2,2,3,20,3,-
cell_188,10,-,2,-,-,2,2,2,0,2,2,2,3,20,-,-
cell_189,10,2,2,2,5,2,2,2,-,2,2,2,3,20,3,-
cell_190,10,2,2,2,5,2,2,-,0,2,2,-,3,20,3,5
cell_191,10,2,2,2,5,2,2,2,4,-,-,-,3,20,3,5
cell_192,10,2,2,2,5,2,2,2,-,2,2,2,-,20,3,5
cell_193,-,0,2,2,-,2,2,5,2,-,2,2,3,-,3,5
cell_194,-,8,2,2,2,-,2,5,2,2,2,2,3,-,-,5
cell_195,10,0,2,2,-,2,2,5,2,2,2,-,3,20,3,5
cell_196,10,0,-,2,2,2,2,5,2,2,2,2,3,20,3,5
cell_197,10,0,2,2,2,-,-,5,0,2,-,2,-,20,3,5
cell_198,10,2,2,2,-,2,-,5,-,2,2,2,3,20,3,5
cell_199,10,-,2,2,2,2,2,5,-,2,2,2,3,-,3,5
cell_200,10,-,-,2,-,2,2,5,74,2,2,2,-,-,3,5
cell_201,-,0,2,2,3,-,2,-,2,2,2,2,3,20,3,5
cell_202,10,0,2,2,-,-,2,5,2,2,2,2,3,-,3,5
cell_203,10,2,2,2,3,2,2,5,0,2,2,-,3,20,3,5
cell_204,10,2,2,2,3,2,2,5,0,2,2,2,3,20,3,5
cell_205,10,0,2,2,3,2,2,5,0,2,-,2,3,20,3,5
cell_206,10,-,2,2,3,2,2,5,0,2,2,2,3,20,3,5
cell_207,-,0,-,2,3,2,2,5,0,-,2,-,3,-,-,5
cell_208,10,0,-,2,3,2,-,5,0,2,2,2,3,20,3,-
cell_209,10,11,2,2,3,2,2,5,2,-,2,-,3,20,3,5
cell_210,10,-,2,2,3,2,2,5,2,-,2,2,3,20,3,5
cell_211,10,4,2,-,-,2,2,5,2,2,2,2,3,20,3,5
cell_212,10,4,2,2,3,2,2,5,2,2,2,2,3,20,3,5
cell_213,-,3,2,2,-,2,2,5,-,-,2,2,3,20,3,5
cell_214,10,3,2,2,10,2,2,5,-,2,2,2,3,-,3,-
cell_215,-,3,2,2,10,2,2,5,2,-,2,-,-,20,3,5
cell_216,10,3,2,2,10,2,2,-,-,2,2,2,3,20,3,5
cell_217,10,-,-,2,0,-,2,-,8,2,-,2,-,-,3,5
cell_218,10,0,2,2,0,2,2,5,8,-,2,2,3,20,3,5
cell_219,10,0,2,-,0,2,-,5,8,2,2,2,-,20,3,5
cell_220,10,2,2,2,0,2,-,5,8,2,-,-,3,20,3,5
cell_221,-,2,2,2,2,2,2,5,-,2,2,2,3,20,3,5
cell_222,10,0,2,2,-,2,2,5,-,-,2,-,3,20,3,5
cell_223,10,5,-,2,-,2,2,-,0,-,2,2,3,20,3,5
cell_224,10,-,-,2,0,-,2,5,0,-,2,-,3,20,-,5
cell_225,10,2,2,-,5,-,2,5,3,-,2,2,3,20,-,5
cell_226,10,2,2,-,0,-,2,5,3,2,2,2,3,20,3,5
cell_227,10,2,2,2,30,2,2,5,3,-,2,2,3,20,-,-
cell_228,10,2,2,-,5,2,2,-,-,2,2,-,-,-,-,5
cell_229,10,2,2,2,0,2,2,5,3,2,2,2,3,20,3,5
cell_230,10,-,2,2,0,-,2,5,3,-,2,2,3,20,3,5
cell_231,10,2,-,2,3,-,-,5,3,2,2,2,3,20,3,5
cell_232,10,2,-,2,0,2,2,-,3,2,2,2,3,20,3,5
cell_233,-,0,2,2,5,2,-,5,3,2,2,2,3,-,3,-
cell_234,-,0,2,2,5,2,2,5,-,2,2,2,3,20,3,5
cell_235,10,0,-,-,5,2,2,5,-,-,2,2,3,-,-,5
cell_236,10,-,2,2,-,2,2,-,3,2,2,2,3,20,3,5
cell_237,10,0,2,2,-,-,2,5,3,2,2,2,3,20,3,5
cell_238,10,0,2,2,0,2,2,5,3,-,2,2,3,20,3,5
cell_239,-,3,2,2,0,2,2,5,3,-,2,2,3,20,3,5
cell_240,10,3,2,2,0,-,2,5,-,-,2,-,3,-,3,5
cell_241,10,2,2,2,-,2,2,5,0,-,2,2,3,20,3,5
cell_242,10,2,2,2,2,2,-,5,0,2,-,2,3,-,-,-
cell_243,10,2,2,2,-,2,2,5,-,-,-,2,-,20,3,-
cell_244,10,2,2,2,2,2,2,5,0,-,2,-,3,20,3,5
cell_245,10,2,2,-,-,2,2,5,2,2,-,-,3,20,3,5
cell_246,10,2,2,2,2,2,-,5,2,2,2,2,3,20,3,5
cell_247,-,2,2,2,2,2,2,5,2,2,2,2,3,-,-,5
cell_248,10,2,2,2,2,2,2,-,2,-,2,2,-,20,-,5
cell_249,10,2,2,2,2,2,2,5,5,2,2,-,3,20,-,5
cell_250,10,-,2,2,2,-,2,-,5,-,-,2,3,20,-,5
cell_251,10,2,-,2,2,2,2,5,0,2,2,2,3,20,3,5
cell_252,10,2,2,2,2,2,-,5,-,2,2,2,-,-,3,5
cell_253,10,2,-,-,2,2,2,5,-,2,2,2,3,20,3,5
cell_254,10,2,2,2,2,2,2,5,0,2,-,2,-,20,3,5
cell_255,-,2,-,2,2,-,2,5,2,2,-,2,3,20,3,5
cell_256,10,2,2,2,2,2,-,5,-,2,2,2,3,20,3,5
cell_257,10,2,-,2,3,2,5,2,-,2,2,5,2,2,2,-
cell_258,-,0,13,2,3,2,-,2,-,2,2,-,-,-,0,5
cell_259,10,2,13,2,3,2,-,2,-,2,2,5,2,-,-,5
cell_260,10,2,13,2,-,2,5,2,6,2,2,-,2,2,0,5
cell_261,10,5,8,-,3,2,-,-,6,2,-,5,2,2,0,5
cell_262,10,0,-,-,3,2,5,2,6,2,2,5,2,2,0,5
cell_263,-,2,0,2,-,2,5,2,-,2,2,-,-,2,0,-
cell_264,10,2,0,2,-,2,5,2,6,2,2,-,2,2,9,5
cell_265,-,-,0,2,3,2,5,2,24,-,-,5,2,2,2,5
cell_266,10,2,0,-,-,2,5,2,0,2,-,5,2,2,2,5
cell_267,10,2,0,-,3,2,-,-,3,2,2,5,2,2,0,5
cell_268,-,2,0,2,3,2,5,2,3,2,2,-,2,2,0,5
cell_269,10,2,3,2,3,2,5,2,0,2,2,-,2,2,0,5
cell_270,10,-,3,2,3,2,5,2,-,2,2,5,2,2,0,5
cell_271,10,2,3,-,3,2,5,2,0,2,2,5,2,2,0,-
cell_272,10,2,-,2,-,2,-,2,2,2,2,5,2,2,0,-
cell_273,10,2,-,2,-,2,2,2,2,-,2,5,3,2,-,5
cell_274,-,2,2,2,3,2,-,2,2,2,2,5,3,2,2,5
cell_275,10,2,-,2,3,-,2,-,2,-,2,5,-,2,0,5
cell_276,10,2,2,-,3,2,2,-,2,2,-,5,3,2,0,5
cell_277,10,2,-,-,3,2,2,2,5,2,-,5,3,2,2,-
cell_278,-,2,2,-,3,2,2,2,-,2,2,5,3,2,2,5
cell_279,10,2,2,2,3,2,-,2,5,2,2,5,-,2,0,5
cell_280,10,2,-,-,3,2,2,-,5,2,2,5,3,2,0,-
cell_281,10,2,2,2,3,2,2,2,0,-,2,5,3,-,3,5
cell_282,10,2,-,2,3,-,2,2,-,2,-,5,3,2,-,5
cell_283,-,2,2,2,3,2,2,-,2,-,-,5,3,2,0,5
cell_284,-,2,2,2,3,2,2,2,2,-,2,5,3,-,0,5
cell_285,10,2,2,2,3,2,2,-,-,2,2,5,3,2,2,5
cell_286,10,2,2,2,-,2,2,-,0,2,2,5,3,2,0,-
cell_287,10,2,-,2,-,2,-,-,0,2,2,5,3,2,2,5
cell_288,10,2,2,2,3,2,2,2,0,-,2,5,3,2,2,5
cell_289,10,0,2,2,3,2,2,5,0,2,-,-,2,0,5,5
cell_290,10,0,2,2,-,2,-,5,0,2,2,2,2,-,5,5
cell_291,10,2,-,2,-,-,2,-,0,2,2,0,2,0,5,5
cell_292,10,2,2,2,-,2,2,5,0,2,2,0,2,0,5,5
cell_293,10,0,2,2,3,-,2,0,-,2,2,-,-,0,5,5
cell_294,10,0,2,-,3,2,2,0,2,2,2,5,-,0,-,5
cell_295,10,5,-,2,3,2,2,5,0,2,2,-,2,0,-,5
cell_296,10,5,2,2,3,2,2,5,0,2,2,5,2,0,-,5
cell_297,10,0,4,2,3,2,2,0,-,2,2,4,-,-,5,-
cell_298,10,0,-,2,-,2,2,2,0,2,2,4,2,2,5,5
cell_299,10,-,-,-,3,2,2,3,0,2,2,4,-,2,0,5
cell_300,10,10,4,-,3,2,2,3,0,2,2,4,2,2,0,5
cell_301,10,0,-,2,3,2,2,0,2,-,2,0,2,2,2,-
cell_302,10,0,4,2,3,2,2,0,2,2,2,0,-,2,0,5
cell_303,10,0,4,-,-,-,2,0,2,2,2,5,2,-,3,5
cell_304,10,0,4,2,3,2,-,0,2,2,2,5,2,2,0,5
cell_305,10,2,2,2,3,-,2,4,0,2,2,-,-,0,3,5
cell_306,10,2,2,2,-,2,2,-,0,2,2,3,0,55,3,5
cell_307,10,2,0,-,3,-,2,-,0,2,-,0,5,4,3,5
cell_308,10,2,0,-,3,-,2,0,-,2,2,5,0,4,3,5
cell_309,10,-,-,2,3,2,2,0,0,2,2,0,2,0,3,5
cell_310,-,2,0,2,3,-,2,-,2,2,2,-,-,0,3,-
cell_311,10,-,2,2,3,2,2,0,0,2,-,2,0,3,3,5
cell_312,10,2,2,2,3,2,2,0,0,2,2,2,0,3,3,-
cell_313,10,2,0,2,3,2,-,0,2,2,2,5,0,0,-,-
cell_314,10,-,0,2,3,2,2,0,0,-,2,5,0,0,-,-
cell_315,10,2,-,2,3,2,-,2,-,2,2,5,4,0,2,5
cell_316,10,2,0,2,-,2,2,2,0,2,-,5,4,0,-,5
cell_317,-,2,0,2,3,2,2,0,0,2,2,5,0,0,0,5
cell_318,10,2,0,2,3,-,2,0,0,-,2,5,0,0,-,5
cell_319,10,-,3,2,3,2,2,0,0,2,2,5,0,0,0,-
cell_320,10,2,3,-,3,2,-,2,0,2,2,5,0,0,0,5
cell_321,10,3,2,2,3,2,2,-,0,2,2,15,5,0,2,5
cell_322,10,3,2,-,3,2,2,0,0,2,-,15,-,0,2,-
cell_323,10,-,2,2,3,-,-,0,0,-,2,15,-,0,8,5
cell_324,10,3,2,-,3,2,2,0,0,2,-,15,-,-,0,-
cell_325,10,3,3,2,3,2,2,0,2,-,2,15,0,3,3,5
cell_326,10,3,3,2,3,2,-,0,0,2,-,15,0,0,3,5
cell_327,-,3,3,2,3,2,2,0,0,-,2,-,0,-,0,5
cell_328,-,-,-,2,3,2,-,0,3,2,-,15,0,0,0,5
cell_329,10,3,-,-,3,2,2,0,2,2,2,15,2,0,5,5
cell_330,-,3,0,2,3,2,2,0,-,2,2,-,2,0,5,5
cell_331,10,3,0,2,3,2,2,0,2,-,2,15,2,2,0,-
cell_332,10,3,-,2,3,2,2,0,2,2,2,15,2,2,0,5
cell_333,10,3,-,2,3,2,-,0,-,-,-,15,2,3,6,-
cell_334,10,3,5,2,3,2,2,0,2,-,-,15,2,-,6,5
cell_335,10,3,0,2,-,2,2,-,2,2,2,15,2,3,0,5
cell_336,10,3,-,2,3,2,2,0,2,2,-,15,2,-,0,5
cell_337,-,3,-,2,3,2,-,-,-,-,-,-,-,-,-,5
cell_338,-,3,3,2,-,2,-,-,-,-,-,-,-,-,-,5
cell_339,-,3,3,2,3,2,-,-,-,-,-,-,-,-,-,5
cell_340,-,3,3,2,3,-,-,-,-,-,-,-,-,-,-,-
cell_341,10,3,0,2,3,2,-,-,-,-,-,-,-,-,-,5
cell_342,10,-,0,2,3,2,-,-,-,-,-,-,-,-,-,-
cell_343,10,3,0,2,-,2,-,-,-,-,-,-,-,-,-,5
cell_344,-,-,0,2,3,2,-,-,-,-,-,-,-,-,-,5
cell_345,-,3,2,2,3,2,-,0,-,2,-,15,-,0,2,5
cell_346,10,3,2,2,3,2,0,0,2,2,2,15,2,0,-,5
cell_347,10,3,2,2,3,2,0,0,3,2,2,15,2,-,2,5
cell_348,10,-,2,2,-,2,0,0,-,2,2,15,2,-,2,5
cell_349,10,-,0,-,3,2,0,0,2,2,-,15,2,-,0,-
cell_350,10,3,0,2,-,2,-,0,0,2,2,15,2,2,0,5
cell_351,10,3,0,2,3,-,0,-,-,2,2,15,2,0,-,5
cell_352,10,3,0,-,3,2,0,-,0,2,2,15,2,-,0,5
cell_353,-,2,-,2,-,2,5,8,2,2,2,-,2,3,2,5
cell_354,10,2,8,-,3,2,5,8,2,2,2,15,0,3,2,5
cell_355,10,-,0,-,3,2,5,8,2,2,-,15,5,2,0,5
cell_356,10,2,0,2,3,2,5,8,2,2,2,-,-,2,0,5
cell_357,10,2,3,2,3,2,5,-,0,2,2,-,2,2,4,-
cell_358,10,2,3,2,3,2,5,-,0,2,2,15,0,0,4,5
cell_359,10,2,-,-,3,2,5,8,0,2,2,15,0,11,4,5
cell_360,10,-,2,2,3,-,5,8,0,2,2,-,0,0,4,5
cell_361,-,-,-,2,3,2,5,8,0,2,2,-,3,5,2,5
cell_362,-,2,0,2,3,-,5,8,0,2,-,15,3,5,2,5
cell_363,10,2,0,2,3,2,5,8,0,2,2,15,-,5,2,5
cell_364,10,2,0,2,3,-,-,-,-,2,2,-,3,5,-,5
cell_365,10,2,0,2,3,2,5,-,0,2,2,15,-,5,0,5
cell_366,10,2,0,2,-,2,-,8,0,2,2,15,3,-,0,5
cell_367,-,2,0,2,3,2,5,8,27,2,2,-,3,5,0,5
cell_368,10,2,-,2,3,2,5,-,4,2,2,15,-,5,-,5
cell_369,10,2,3,2,3,2,-,4,2,2,2,15,0,2,0,5
cell_370,-,2,3,2,3,2,0,-,2,2,-,15,-,2,0,-
cell_371,10,2,3,2,3,2,2,4,2,2,2,15,-,2,0,5
cell_372,10,-,-,-,3,-,0,4,2,2,2,15,2,2,0,5
cell_373,-,2,3,2,3,2,2,11,2,2,2,15,-,2,2,5
cell_374,10,2,3,2,-,-,0,11,2,2,2,15,-,2,2,5
cell_375,-,2,-,2,3,2,2,11,2,2,2,15,0,2,2,5
